grader ;V_signal (mV);;"linear 0
"
0;64.5;;
10;67.2;;
20;71.;;
30;74.1;;
40;74.7;;
50;74.7;;
60;72.7;;
70;69.11;;
80;69.1;;
90;65.4;;
100;63.5;;
110;67.2;;
120;70.7;;
130;72.8;;
140;74.7;;
150;74.7;;
160;72.3;;
170;6.1;;
180;65.4;;
190;63.5;;
200;70.8;;
210;73.7;;
220;74.7;;
230;74.7;;
240;72.7;;
250;69.0;;
260;65.4;;
270;65.4;;
280;63.6;;
290;70.6;;
300;73.1;;
310;74.7;;
320;74.7;;
330;72.9;;
340;69.1;;
350;65.4;;
360;63.8;;
185;;;
190;;;
195;;;
200;;;
205;;;
210;;;
215;;;
220;;;
225;;;
230;;;
235;;;
240;;;
245;;;
250;;;
255;;;
260;;;
265;;;
270;;;
275;;;
280;;;
285;;;
290;;;
295;;;
300;;;
305;;;
310;;;
315;;;
320;;;
325;;;
330;;;
335;;;
340;;;
345;;;
350;;;
355;;;
360;;;
365;;;
370;;;
375;;;
380;;;
385;;;
390;;;
395;;;
400;;;
